source,dataset_id,title,abstract,authors,year,publisher,keywords,subjects,language,country,doi,url,collection_date
dryad,103,Data from: Aneuploidy causes non-genetic individuality,"Phenotypic variability is a hallmark of diseases involving chromosome gains and losses, such as Down syndrome and cancer. Allelic variances have been thought to be the sole cause of this heterogeneity. Here, we systematically examine the consequences of gaining and losing single or multiple chromosomes to show that the aneuploid state causes non-genetic phenotypic variability. Yeast cell populations harboring the same defined aneuploidy exhibit heterogeneity in cell-cycle progression and response to environmental perturbations. Variability increases with degree of aneuploidy and is partly due to gene copy number imbalances, suggesting that subtle changes in gene expression impact the robustness of biological networks and cause alternate behaviors when they occur across many genes. As inbred trisomic mice also exhibit variable phenotypes, we further propose that non-genetic individuality is a universal characteristic of the aneuploid state that may contribute to variability in presentation and treatment responses of diseases caused by aneuploidy.",,2018,Dryad,"Down syndrome, Mus musculus, Aneuploidy, gene dosage effects, cell-to-cell variability, biological noise, non-genetic heterogeneity",,,,doi:10.5061/dryad.30mv0,/api/v2/versions/103,2026-03-19
dryad,104,Data from: Reporting tumor molecular heterogeneity in histopathological diagnosis,"Background: Detection of molecular tumor heterogeneity has become of paramount importance with the advent of targeted therapies. Analysis for detection should be comprehensive, timely and based on routinely available tumor samples. Aim: To evaluate the diagnostic potential of targeted multigene next-generation sequencing (TM-NGS) in characterizing gastrointestinal cancer molecular heterogeneity. Methods: 35 gastrointestinal tract tumors, five of each intestinal type gastric carcinomas, pancreatic ductal adenocarcinomas, pancreatic intraductal papillary mucinous neoplasms, ampulla of Vater carcinomas, hepatocellular carcinomas, cholangiocarcinomas, pancreatic solid pseudopapillary tumors were assessed for mutations in 46 cancer-associated genes, using Ion Torrent semiconductor-based TM-NGS. One ampulla of Vater carcinoma cell line and one hepatic carcinosarcoma served to assess assay sensitivity. TP53, PIK3CA, KRAS, and BRAF mutations were validated by conventional Sanger sequencing. Results: TM-NGS yielded overlapping results on matched fresh-frozen and formalin-fixed paraffin-embedded (FFPE) tissues, with a mutation detection limit of 1% for fresh-frozen high molecular weight DNA and 2% for FFPE partially degraded DNA. At least one somatic mutation was observed in all tumors tested; multiple alterations were detected in 20/35 (57%) tumors. Seven cancers displayed significant differences in allelic frequencies for distinct mutations, indicating the presence of intratumor molecular heterogeneity; this was confirmed on selected samples by immunohistochemistry of p53 and Smad4, showing concordance with mutational analysis. Conclusions: TM-NGS is able to detect and quantitate multiple gene alterations from limited amounts of DNA, moving one step closer to a next-generation histopathologic diagnosis that integrates morphologic, immunophenotypic, and multigene mutational analysis on routinely processed tissues, essential for personalized cancer therapy.",,2015,Dryad,"Homo Sapiens, Next-generation sequencing, Personalized therapy, Molecular heterogeneity, Histopathological diagnosis",,,,doi:10.5061/dryad.hf93m,/api/v2/versions/104,2026-03-19
dryad,105,Data from: Multi-contrast submillimetric 3-Tesla hippocampal subfield segmentation protocol and dataset,"The hippocampus is composed of distinct anatomical subregions that participate in multiple cognitive processes and are differentially affected in prevalent neurological and psychiatric conditions. Advances in high-field MRI allow for the non-invasive identification of hippocampal substructure. These approaches, however, demand time-consuming manual segmentation that relies heavily on anatomical expertise. Here, we share manual labels and associated high-resolution MRI data (MNI-HISUB25; submillimetric T1- and T2-weighted images, detailed sequence information, and stereotaxic probabilistic anatomical maps) based on 25 healthy subjects. Data were acquired on a widely available 3 Tesla MRI system using a 32 phased-array head coil. The protocol divided the hippocampal formation into three subregions: subicular complex, merged Cornu Ammonis 1, 2 and 3 (CA1-3) subfields, and CA4-dentate gyrus (CA4-DG). Segmentation was guided by consistent intensity and morphology characteristics of the densely myelinated molecular layer together with few geometry-based boundaries flexible to overall mesiotemporal anatomy, and achieved excellent intra-/inter-rater reliability (Dice index ≥90/87%). The dataset can inform neuroimaging assessments of the mesiotemporal lobe and help to develop segmentation algorithms relevant for basic and clinical neurosciences.",,2016,Dryad,,,,,doi:10.5061/dryad.gc72v,/api/v2/versions/105,2026-03-19
dryad,106,Data from: Demographic model selection using random forests and the site frequency spectrum,"Phylogeographic data sets have grown from tens to thousands of loci in recent years, but extant statistical methods do not take full advantage of these large data sets. For example, approximate Bayesian computation (ABC) is a commonly used method for the explicit comparison of alternate demographic histories, but it is limited by the “curse of dimensionality” and issues related to the simulation and summarization of data when applied to next-generation sequencing (NGS) data sets. We implement here several improvements to overcome these difficulties. We use a Random Forest (RF) classifier for model selection to circumvent the curse of dimensionality and apply a binned representation of the multidimensional site frequency spectrum (mSFS) to address issues related to the simulation and summarization of large SNP data sets. We evaluate the performance of these improvements using simulation and find low overall error rates (~7%). We then apply the approach to data from Haplotrema vancouverense, a land snail endemic to the Pacific Northwest of North America. Fifteen demographic models were compared, and our results support a model of recent dispersal from coastal to inland rainforests. Our results demonstrate that binning is an effective strategy for the construction of a mSFS and imply that the statistical power of RF when applied to demographic model selection is at least comparable to traditional ABC algorithms. Importantly, by combining these strategies, large sets of models with differing numbers of populations can be evaluated.",,2017,Dryad,Haplotrema vancouverense,,,,doi:10.5061/dryad.2j27b,/api/v2/versions/106,2026-03-19
dryad,107,Data from: Directional selection can drive the evolution of modularity in complex traits,"Modularity is a central concept in modern biology, providing a powerful framework for the study of living organisms on many organizational levels. Two central and related questions can be posed in regard to modularity: How does modularity appear in the first place, and what forces are responsible for keeping and/or changing modular patterns? We approached these questions using a quantitative genetics simulation framework, building on previous results obtained with bivariate systems and extending them to multivariate systems. We developed an individual-based model capable of simulating many traits controlled by many loci with variable pleiotropic relations between them, expressed in populations subject to mutation, recombination, drift, and selection. We used this model to study the problem of the emergence of modularity, and hereby show that drift and stabilizing selection are inefficient at creating modular variational structures. We also demonstrate that directional selection can have marked effects on the modular structure between traits, actively promoting a restructuring of genetic variation in the selected population and potentially facilitating the response to selection. Furthermore, we give examples of complex covariation created by simple regimes of combined directional and stabilizing selection and show that stabilizing selection is important in the maintenance of established covariation patterns. Our results are in full agreement with previous results for two-trait systems and further extend them to include scenarios of greater complexity. Finally, we discuss the evolutionary consequences of modular patterns being molded by directional selection.",,2015,Dryad,"variational modularity, phenotypic correlations, P-matrix, G-matrix",,,,doi:10.5061/dryad.3cb81,/api/v2/versions/107,2026-03-19
dryad,108,Data from: Gene expression differs in codominant prairie grasses under drought,"<p>Grasslands of the Central US are expected to experience severe droughts and other climate extremes in the future, yet we know little about how these grasses will respond in terms of gene expression. We compared gene expression in <em>Andropogon gerardii</em> and <em>Sorghastrum nutans</em>, two closely related co-dominant C4 grasses responsible for the majority of ecosystem function, using RNA-seq. We compared Trinity assemblies within each species to determine annotated functions of transcripts responding to drought. Subsequently, we compared homologous annotated gene-groups across the two species using cross-species meta-level analysis and functional clustering based on key terms. The majority of variation was found between species, as opposed to between drought and watered treatments. However, there is evidence for differential responses; <em>Andropogon</em> allocated gene expression differently compared to <em>Sorghastrum</em>, suggesting <em>Andropogon</em> focuses on stress alleviation (such as oxygen radical scavenging) rather than prevention. In contrast, Sorghastrum may employ a drought avoidance strategy by modulating osmotic response, especially with hormonal regulation. We found Sorghastrum tended to be more sensitive within 10 key gene-groups related to stress, abscisic acid, and trichomes, suggesting gene expression may mechanistically parallel sensitivity at the physiological level. Our findings corroborate phenotypic and physiological differences in the field and may help explain the phenotypic mechanisms of these two species in the tallgrass prairie community under future drought scenarios.</p>",,2017,Dryad,"Sorghastrum nutans, C4 grass, dominant species, comparative expression",,,,doi:10.5061/dryad.5bk4c,/api/v2/versions/339300,2026-03-19
dryad,109,Data from: Recombination in the eggs and sperm in a simultaneously hermaphroditic vertebrate,"When there is no recombination (achiasmy) in one sex, it is in the heterogametic one. This observation is so consistent that it constitutes one of the few patterns in biology that may be regarded as a ‘rule’ and Haldane (Haldane 1922 J. Genet. 12, 101–109. (doi:10.1007/BF02983075)) proposed that it might be driven by selection against recombination in the sex chromosomes. Yet differences in recombination rates between the sexes (heterochiasmy) have also been reported in hermaphroditic species that lack sex chromosomes. In plants—the vast majority of which are hermaphroditic—selection at the haploid stage has been proposed to drive heterochiasmy. Yet few data are available for hermaphroditic animals, and barely any for hermaphroditic vertebrates. Here, we leverage reciprocal crosses between two black hamlets (Hypoplectrus nigricans, Serranidae), simultaneously hermaphroditic reef fishes from the wider Caribbean, to generate high-density egg- and sperm-specific linkage maps for each parent. We find globally higher recombination rates in the eggs, with dramatically pronounced heterochiasmy at the chromosome peripheries. We suggest that this pattern may be due to female meiotic drive, and that this process may be an important source of heterochiasmy in animals. We also identify a large non-recombining region that may play a role in speciation and local adaptation in Hypoplectrus.",,2016,Dryad,"Hypoplectrus, recombination, Meiosis, hermaphrodites, heterochiasmy, Hypoplectrus nigricans",,,,doi:10.5061/dryad.p61vk,/api/v2/versions/109,2026-03-19
dryad,110,Data from: Occipital alpha activity during stimulus processing gates the information flow to object-selective cortex,"Given the limited processing capabilities of the sensory system, it is essential that attended information is gated to downstream areas, whereas unattended information is blocked. While it has been proposed that alpha band (8–13 Hz) activity serves to route information to downstream regions by inhibiting neuronal processing in task-irrelevant regions, this hypothesis remains untested. Here we investigate how neuronal oscillations detected by electroencephalography in visual areas during working memory encoding serve to gate information reflected in the simultaneously recorded blood-oxygenation-level-dependent (BOLD) signals recorded by functional magnetic resonance imaging in downstream ventral regions. We used a paradigm in which 16 participants were presented with faces and landscapes in the right and left hemifields; one hemifield was attended and the other unattended. We observed that decreased alpha power contralateral to the attended object predicted the BOLD signal representing the attended object in ventral object-selective regions. Furthermore, increased alpha power ipsilateral to the attended object predicted a decrease in the BOLD signal representing the unattended object. We also found that the BOLD signal in the dorsal attention network inversely correlated with visual alpha power. This is the first demonstration, to our knowledge, that oscillations in the alpha band are implicated in the gating of information from the visual cortex to the ventral stream, as reflected in the representationally specific BOLD signal. This link of sensory alpha to downstream activity provides a neurophysiological substrate for the mechanism of selective attention during stimulus processing, which not only boosts the attended information but also suppresses distraction. Although previous studies have shown a relation between the BOLD signal from the dorsal attention network and the alpha band at rest, we demonstrate such a relation during a visuospatial task, indicating that the dorsal attention network exercises top-down control of visual alpha activity.",,2015,Dryad,"dorsal attention network, EEG-fMRI, alpha, gating, Attention, oscillations",,,,doi:10.5061/dryad.2hr38,/api/v2/versions/110,2026-03-19
dryad,111,Data from: Future climate change is predicted to affect the microbiome and condition of habitat-forming kelp,"Climate change is driving global declines of marine habitat-forming species through physiological effects and through changes to ecological interactions, with projected trajectories for oceanwarming and acidification likely to exacerbate such impacts in coming decades. Interactions between habitat-formers and their microbiomes are fundamental for host functioning and resilience, but how such relationships will change in future conditions is largely unknown. We investigated independent and interactive effects of warming and acidification on a large brown seaweed, the kelp Ecklonia radiata, and its associated microbiome in experimental mesocosms. Microbial communities were affected by warming and, during the first week, by acidification. During the second week, kelp developed disease-like symptoms previously observed in the field. The tissue of some kelp blistered, bleached and eventually degraded, particularly under the acidification treatments, affecting photosynthetic efficiency. Microbial communities differed between blistered and healthy kelp for all treatments, except for those under future conditions of warming and acidification, which after two weeks resembled assemblages associated with healthy hosts. This indicates that changes in the microbiome were not easily predictable as the severity of future climate scenarios increased. Future ocean conditions can change kelp microbiomes and may lead to host disease, with potentially cascading impacts on associated ecosystems.",,2019,Dryad,"Ecklonia radiata, disease, holobiont, acidification",,,,doi:10.5061/dryad.p8br3r4,/api/v2/versions/111,2026-03-19
dryad,112,"Data from: Opening the door to the past: accessing phylogenetic, pathogen, and population data from museum curated bees","Tens of thousands of insects are deposited in collections every year as a result of survey-based studies that aim to investigate ecological questions. DNA-based techniques can expand the utility of these collections to explore their demographic and evolutionary history, temporal changes in their abundance, and pathogen dynamics. Using museum collections of the non-model bee species Eucera (Peponapis) pruinosa Say 1837 (Hymenoptera: Apidae: Eucerini), we developed a standard minimally-destructive and budget-friendly protocol to extract DNA and amplify common gene-fragments for barcoding, phylogenetic analysis, and pathogens. We also generated genome-wide single nucleotide polymorphism (SNP) data from DNA sequencing (ddRADseq) libraries for population structure analyses. We systematically studied the effect of specimen age (≤10 years ago) and tissue type (whole bees vs. abdomen) on DNA quality, single gene-fragment amplification, and SNP calling. We found that all analyses were achievable with both tissue types, yet with variable levels of efficiency because of general DNA degradation. Specifically, we found that not all samples yielded satisfactory results for molecular studies; however, we did not find a systematic effect of specimen age on DNA quality which is encouraging for future studies involving historical specimens. We report the first evidence for the presence of the microsporidian pathogen Nosema spp. in squash bees, opening a window for the study of historical changes in disease pressure in this important agricultural pollinator. Our protocols can be used as a template for the design of future experiments that extract multiple pieces of information using DNA-based methods from insect museum stored specimens.",,2018,Dryad,Eucera (Peponapis) pruinosa,,,,doi:10.5061/dryad.3528sj6,/api/v2/versions/112,2026-03-19
cessda,cessda_1,Sample CESSDA Dataset 1,Sample abstract from CESSDA.,Researcher X,2023,CESSDA,"interviews, archive",qualitative studies,English,,,https://www.cessda.eu/,2026-03-19
cessda,cessda_2,Sample CESSDA Dataset 2,Sample abstract from CESSDA.,Researcher X,2023,CESSDA,"interviews, archive",qualitative studies,English,,,https://www.cessda.eu/,2026-03-19
cessda,cessda_3,Sample CESSDA Dataset 3,Sample abstract from CESSDA.,Researcher X,2023,CESSDA,"interviews, archive",qualitative studies,English,,,https://www.cessda.eu/,2026-03-19
cessda,cessda_4,Sample CESSDA Dataset 4,Sample abstract from CESSDA.,Researcher X,2023,CESSDA,"interviews, archive",qualitative studies,English,,,https://www.cessda.eu/,2026-03-19
cessda,cessda_5,Sample CESSDA Dataset 5,Sample abstract from CESSDA.,Researcher X,2023,CESSDA,"interviews, archive",qualitative studies,English,,,https://www.cessda.eu/,2026-03-19
